ID,Name,Description,ColumnSpec,Semantic_Field,Ontological_Category,Replacement_ID
2886,PRODUCE,To cause to have existence.,,Modern world,Action/Process,
2887,THAW (DEW),Go from a frozen to a liquid state.,,Basic actions and technology,Action/Process,
2888,TINKLE,Emit a sound suggestive of a tinkle.,,Basic actions and technology,Action/Process,
2889,TWINKLE,Shine with flickering light.,,Basic actions and technology,Action/Process,
2890,WALK (TAKE A WALK),To wander around.,,Basic actions and technology,Action/Process,
2891,TIE UP (TETHER),To attach an animal to something to prevent that it leaves.,,Basic actions and technology,Action/Process,
2892,MAKE ANGRY (ANNOY),To cause somebody to be annoyed.,,Emotions and values,Action/Process,
2893,NOTICE (SOMETHING),To become aware of something.,,Basic actions and technology,Action/Process,
2894,TUMBLE (FALL DOWN),To fall down accidentally.,,Basic actions and technology,Action/Process,
2895,MAKE NOISE,To be loud.,,Basic actions and technology,Action/Process,
2896,CAUSE TO (LET),To allow or cause somebody to do something.,,Basic actions and technology,Action/Process,
2897,CHIME (ACTION),To ring the bells.,,Modern world,Action/Process,
2898,CONVEY (A MESSAGE),To share a message with somebody.,,Basic actions and technology,Action/Process,
2899,JOG (SOMETHING),To shake something.,,Basic actions and technology,Action/Process,
2900,PROTECT,To prevent something or somebody from being harmed.,,Basic actions and technology,Action/Process,
2901,SWING (SOMETHING),To set something in swinging motion.,,Basic actions and technology,Action/Process,
2902,BRAWL (FIGHT),To be involved in a normally unarmed and ruleless scuffle.,,Basic actions and technology,Action/Process,
2903,CHAT (WITH SOMEBODY),To have a conversation with somebody.,,Basic actions and technology,Action/Process,
2904,RINSE,To clean by pouring water over the objects.,,Basic actions and technology,Action/Process,
2905,KNIT,To create a textile by manipulating yarn with the help of two long needles.,,Basic actions and technology,Action/Process,
2906,TRANSLATE,To communicate of the meaning of a source-language text by means of an equivalent target-language text.,,Basic actions and technology,Action/Process,
2907,ROT,To be exposed to decomposition.,,Basic actions and technology,Action/Process,
2908,GUEST OR STRANGER,Either a guest or a stranger.,,Kinship,Person/Thing,
2909,PREPARE,To carry out things in advance to avoid to be later not able to do them.,,Basic actions and technology,Action/Process,
2910,BACK (DIRECTION),The opposite direction from where one came.,,Spatial relations,Other,
2911,BACKWARD,Moving in the direction of one's backside.,,Spatial relations,Other,
2912,FORWARD,Moving ahead.,,Spatial relations,Other,
2914,ONCE (IN THE PAST),One time during a certain time in the past.,,Time,Other,
2915,AT FIRST,When first seen or considered.,,Time,Other,
2916,INSTANTLY (IMMEDIATELY),Without delay.,,Time,Other,
2917,NEXT TO,To be positioned adjacent to.,,Spatial relations,Other,
2918,BECAUSE OF,Undergo decomposition.,,Basic actions and technology,Other,
2919,STILL (CONTINUING),Continuance of motion or state.,,Time,Other,
2920,SUDDENLY,Happening unexpectedly.,,Time,Other,
2921,THEN,Soon after that.,,Time,Other,
2922,AT THAT TIME,At a certain time in the past.,,Time,Other,
2923,THITHER (THERE TO),Directed towards this place there.,,Spatial relations,Other,
2924,A LITTLE,"More than one, but not as much as usual or as expected. (for mass nouns)",,Basic actions and technology,Other,
2925,HITHER (HERE TO),Directed towards this place here.,,Spatial relations,Other,
2926,HARDLY,Barely perceivable or noticeable.,,Basic actions and technology,Other,
2927,FROM HERE,Directed from here towards another direction.,,Spatial relations,Other,
2928,WHITHER (WHERE TO),Directed to what location?,,Spatial relations,Other,
2929,BENEFIT,The profit of some action.,,Modern world,Person/Thing,
2930,BOSS,"A boss is a person in charge, or a supervisor.",,Modern world,Person/Thing,
2931,BUSINESS,A business is an organizational entity involved in the provision of goods and services to consumers.,,Modern world,Person/Thing,
2932,COLD (CHILL),"Cold is the presence of low temperature, especially in the atmosphere.",,Sense perception,Person/Thing,
2933,CONVERSATION,"Conversation is interactive, communication between two or more people.",,Speech and language,Person/Thing,
2934,CUCKOO,"The cuckoos are a family of birds, Cuculidae, the sole taxon in the order Cuculiformes.",,Animals,Person/Thing,
2935,CURRENT (STREAM),"A current, in a river or stream, is the flow of water influenced by gravity as the water moves downhill to reduce its potential energy.",,The physical world,Person/Thing,
2936,ELEVATION,"The elevation of a geographic location is its height above or below a fixed reference point, most commonly a reference geoid, a mathematical model of the Earth's sea level as an equipotential gravitational surface (see Geodetic system, vertical datum).",,The physical world,Person/Thing,
2937,FAIRY TALE,"A fairy tale is a type of short story that typically features folkloric fantasy characters, such as dwarves, dragons, elves, fairies, giants, gnomes, goblins, griffins, mermaids, talking animals, trolls, unicorns, or witches, and usually magic or enchantments.",,Modern world,Person/Thing,
2938,FLAVOR,"Flavor is the sensory impression of food or other substance, and is determined primarily by the chemical senses of taste and smell.",,Sense perception,Person/Thing,
2939,FLOCK (OF ANIMALS),"A large number of animals, especially birds, sheep or goats.",,Animals,Person/Thing,
2940,GATE,A gate or gateway is a point of entry to a space which is enclosed by walls.,,The house,Person/Thing,
2941,HAPPINESS,"In philosophy, happiness translates the Greek concept of eudaimonia, and refers to the good life, or flourishing, rather than simply an emotion.",,Emotions and values,Person/Thing,
2942,HOARFROST,"Refers to white ice crystals, deposited on the ground or loosely attached to exposed objects such as wires or leaves.",,Sense perception,Person/Thing,
2943,BUNDLE,A group of things fastened together.,,Basic actions and technology,Person/Thing,
2944,CALL (APPEAL),An act of calling with the voice.,,Speech and language,Person/Thing,
2945,COUNT (QUANTITY),The total number of individual things in a given unit or sample obtained by counting all or a subsample of them.,,Quantity,Person/Thing,
2946,CRADLE,A bed for a baby.,,Modern world,Person/Thing,
2947,DAMAGE (INJURY),Loss or harm resulting from injury to person or objects.,,Modern world,Person/Thing,
2948,GAP (DISTANCE),A separation in space.,,Spatial relations,Person/Thing,
2949,LAIR,The resting or living place of a wild animal.,,Animals,Person/Thing,
2950,MEANING,The thing one intends to convey especially by language.,,Speech and language,Person/Thing,
2951,POUCH,A small bag.,,Basic actions and technology,Person/Thing,
2952,SLAB,Thick plate or slice.,,Modern world,Person/Thing,
2953,SLEEVE,Part of a garment covering the arm.,,Clothing and grooming,Person/Thing,
2954,SLICE,A thin flat piece cut from something.,,Modern world,Person/Thing,
2955,STATE (POLITICS),A politically organized body of people usually occupying a definite territory.,,Modern world,Person/Thing,
2956,TUBE,Cylindrical structure or device.,,Modern world,Person/Thing,
2957,WARE,Manufactured articles.,,Modern world,Person/Thing,
2958,LAUGHTER,"Laughter is a physical reaction in humans and some other species of primate, consisting typically of rhythmical, often audible contractions of the diaphragm and other parts of the respiratory system.",,Emotions and values,Person/Thing,
2959,LEASH,A leash is a rope or similar material attached to the neck or head of an animal for restraint or control.,,Basic actions and technology,Person/Thing,
2960,LONGING (WISH),The strong desire for something.,,Emotions and values,Person/Thing,
2961,MESSAGE,A message is a discrete unit of communication intended by the source for consumption by some recipient or group of recipients.,,Speech and language,Person/Thing,
2962,MOORLAND,"Moorland or moor is a type of habitat found in upland areas in temperate grasslands, savannas, and shrublands and montane grasslands and shrublands biomes, characterised by low-growing vegetation on acidic soils.",,The physical world,Person/Thing,
2963,NET,A grid-like device or object.,,Basic actions and technology,Person/Thing,
2964,NEWS,News is information about current events.,,Basic actions and technology,Person/Thing,
2965,PAW,"A paw is the soft foot of a mammal, generally a quadruped, that has claws.",,Animals,Person/Thing,
2966,PERCH (FISH),"Perch is a common name for fish of the genus Perca, freshwater gamefish belonging to the family Percidae.",,Animals,Person/Thing,
2967,PIKE (FISH),The northern pike is a species of carnivorous fish of the genus Esox (the pikes).,,Animals,Person/Thing,
2968,REASON,"Reason is the capacity for consciously making sense of things, applying logic, establishing and verifying facts, and changing or justifying practices, institutions, and beliefs based on new or existing information.",,Emotions and values,Person/Thing,
2969,RIBBON,"A ribbon is a thin band of material, typically cloth but also plastic or sometimes metal, used primarily as decorative binding and tying.",,Basic actions and technology,Person/Thing,
2970,RIDDLE,"A riddle is a statement or question or phrase having a double or veiled meaning, put forth as a puzzle to be solved.",,Emotions and values,Person/Thing,
2971,SIN,"In a religious context, sin is the act of violating God's will by transgressing his commandments.",,Religion and belief,Person/Thing,
2972,SLEEP (STATE),"Sleep is a naturally recurring state of mind and body characterized by altered consciousness, relatively inhibited sensory activity, inhibition of nearly all voluntary muscles, and reduced interactions with surroundings.",,Basic actions and technology,Person/Thing,
2973,STRAP,"A strap is an elongated flap or ribbon, usually of fabric or leather.",,Basic actions and technology,Person/Thing,
2974,SWARM (OF BIRDS),"Swarm behaviour, or swarming, is a collective behaviour exhibited by entities, particularly animals, of similar size which aggregate together, perhaps milling about the same spot or perhaps moving en masse or migrating in some direction.",,Animals,Person/Thing,
2975,THOUGHT,Thought refers to ideas or arrangements of ideas that are the result of the process of thinking.,,Cognition,Person/Thing,
2976,VIOLENCE,"Violence is defined by the World Health Organization as *the intentional use of physical force or power, threatened or actual, against oneself, another person, or against a group or community, which either results in or has a high likelihood of resulting in injury, death, psychological harm, maldevelopment, or deprivation*, although the group acknowledges that the inclusion of *the use of power* in its definition expands on the conventional understanding of the word.",,Emotions and values,Person/Thing,
2977,WORKER,Somebody who works.,,Modern world,Person/Thing,
2978,DISTANCE,Distance is a numerical description of how far apart objects are.,,Spatial relations,Person/Thing,
2979,WALK (MANNER),"The act of walking, the way one walks.",,Basic actions and technology,Person/Thing,
2980,AREA,"Area is the quantity that expresses the extent of a two-dimensional figure or shape, or planar lamina, in the plane.",,The physical world,Person/Thing,
2981,ITEM,Any object that can be grasped.,,The physical world,Person/Thing,
2982,GIFT,A gift or a present is an item given to someone without the expectation of payment or return.,,Basic actions and technology,Person/Thing,
2983,COMPANIONSHIP,"An interpersonal relationship is a strong, deep, or close association or acquaintance between two or more people that may range in duration from brief to enduring.",,Modern world,Person/Thing,
2984,HEAP,A collection of things thrown one on another.,,Basic actions and technology,Person/Thing,
2985,HEIGHT,"Height is the measure of vertical distance, either how tall something is, or how high up it is.",,Spatial relations,Person/Thing,
2986,CAMPFIRE,"A campfire is a fire at a campsite that provides light and warmth, and heat for cooking.",,Basic actions and technology,Person/Thing,
2987,AMOUNT,Quantity is a property that can exist as a magnitude or multitude.,,Quantity,Person/Thing,
2988,PATTERN,A pattern is a discernible regularity in the world or in a man-made design.,,The physical world,Person/Thing,
2989,FRINGE,The border of an object.,,Spatial relations,Person/Thing,
2990,SACK,A specific bag used to store or carry items.,,Basic actions and technology,Person/Thing,
2991,SKI,A ski is a narrow strip of semi-rigid material worn underfoot to glide over snow.,,Modern world,Person/Thing,
2992,TIP (OF OBJECT),The pointed end of something.,,Spatial relations,Person/Thing,
2993,STROKE (OF PEN),A single movement with a pen in order to write or paint something.,,Modern world,Person/Thing,
2994,SUPPORT (OF OBJECT),An object that keeps another object in its place.,,Spatial relations,Person/Thing,
2995,TONE (MUSIC),"Traditionally in Western music, a musical tone is a steady periodic sound.",,Sense perception,Person/Thing,
2996,WEALTH,Wealth is the abundance of valuable resources or valuable material possessions.,,Modern world,Person/Thing,
2997,COLORFUL,Having many colors.,,Sense perception,Property,
2998,DAMP,"Refers to the presence of a liquid, especially water, often in trace amounts.",,Sense perception,Property,
2999,EVERYWHERE,In all places.,,Spatial relations,Other,
3000,LIVING,Being alive.,,The body,Property,1422
3001,POWERFUL,Being done using a huge amount of energy.,,Basic actions and technology,Property,
3002,PRECIOUS,Being dear or important to somebody.,,Emotions and values,Property,
3003,SOLID,Firm to the touch.,,Sense perception,Property,
3004,FORMER,Coming before in time.,,Time,Other,
3005,FAMILIAR,Knowing somebody or something well.,,Emotions and values,Property,
3006,SPACE (AVAILABLE),Available space to place things.,,Spatial relations,Person/Thing,
3007,EUCALYPT,Tree or wood for plants with capsule fruiting bodies belonging to closely related genera found across Australia.,,Agriculture and vegetation,Person/Thing,
3008,ECHIDNA,Egg-laying mammal of the Tachyglossidae family.,,Animals,Person/Thing,
3009,WHITE COCKATOO,"Large white cockatoo, species C. galerita.",,Animals,Person/Thing,
3010,WAGTAIL,Passerine bird of genus Motacilla.,,Animals,Person/Thing,
3011,GRUB,Larva of Coleoptera order.,,Animals,Person/Thing,
3012,BANDICOOT,Marsupial of Peramelemorphia order.,,Animals,Person/Thing,
3013,BLACK COCKATOO,"Black cockatoo, usually the Palm cockatoo.",,Animals,Person/Thing,
3014,BLACK DUCK,Pacific black duck (Anas superciliosa).,,Animals,Person/Thing,
3015,PATERNAL GRANDMOTHER,Father's mother.,,Kinship,Person/Thing,
3016,FIRE STICK,Sticks used specifically to set fire to something or to burn.,,Basic actions and technology,Person/Thing,
3017,MONITOR LIZARD,"Monitor lizard of the genus Varanus, such as the goanna and the Komodo dragon.",,Animals,Person/Thing,
3018,NATIVE CAT,"Small mammal predator with long and slender bodyshape, usually referred to as native cat by European colonizers (but not a true Felidae).",,Animals,Person/Thing,
3019,SAND HILL,Ecological community or xeric wildfire-maintained ecosystem (different from sand dune).,,The physical world,Person/Thing,
3020,BREAK (BREAKING),To come apart or split into pieces (intransitive).,,Basic actions and technology,Action/Process,
3021,BLUE TONGUED SKINK,Australian skins comprising the genus Tiliqua.,,Animals,Person/Thing,
3022,TOP GRINDSTONE,The top (and usually proper) element in a two-stone grindstone.,,Basic actions and technology,Person/Thing,
3023,BOTTOM GRINDSTONE,The bottom element in a two-stone grindstone.,,Basic actions and technology,Person/Thing,
3024,BRIDE PRICE,Money or other form of wealth paid by a groom to the family of his bride.,,Social and political relations,Person/Thing,
3025,BARN OR SHED,A building for storing agricultural products or sheltering livestock.,,The house,Person/Thing,
3026,CONJUNCTIVITIS,An inflammation of the eye conjunctiva.,,The body,Person/Thing,
3027,COOKED CORN,Boiled corn.,,Food and drink,Person/Thing,
3028,GRAVEL,An uncosolidated mixture of pebbles and/or rock fragments of different sizes.,,The physical world,Person/Thing,
3029,SUGAR PALM,"Common name for several palm species used to produce sugar, especially Arenga pinnata.",,Agriculture and vegetation,Person/Thing,
3030,LONTAR PALM,Species of the genus Borassus of fan palms.,,Agriculture and vegetation,Person/Thing,
3031,MORINGA TREE,"Species of the genus Moringa, widely cultivated in tropical and subtropical areas and used in herbal medicine.",,Agriculture and vegetation,Person/Thing,
3032,STARFISH,"Star-shaped echinoderm of class Asteroidea, occuring in all the world's oceans.",,Animals,Person/Thing,
3033,SCARED,"Property of being scared of something or someone, having an uncontrollable emotion of anxiety.",,Emotions and values,Property,
3034,GREEN COCONUT,"A green (i.e., not mature) oval nut with a fibrous husk of the cocos palm, used as source of coconut water.",,Agriculture and vegetation,Person/Thing,
3035,RIPE COCONUT,"A ripe (i.e., mature) oval nut with a fibrous husk of the cocos palm, used as source of coconut meat.",,Agriculture and vegetation,Person/Thing,
3036,TREETOP,The uppermost part of a tree; crown.,,Agriculture and vegetation,Person/Thing,
3037,SAME-SEX OLDER SIBLING,A person of the same sex who is born before another person who has the same parents.,,Kinship,Person/Thing,
3038,SAME-SEX YOUNGER SIBLING,A person of the same sex who is born after another person who has the same parents.,,Kinship,Person/Thing,
3039,DIFFERENT-SEX OLDER SIBLING,A person of the different sex who is born before another person who has the same parents.,,Kinship,Person/Thing,
3040,DIFFERENT-SEX YOUNGER SIBLING,A person of the different sex who is born after another person who has the same parents.,,Kinship,Person/Thing,
3041,PATERNAL AUNT (FATHER'S OLDER SISTER),The older sister of one's father.,,Kinship,Person/Thing,
3042,MATERNAL AUNT (MOTHER'S OLDER SISTER),The older sister of one's mother.,,Kinship,Person/Thing,
3043,MATERNAL AUNT (MOTHER'S YOUNGER SISTER),The younger sister of one's mother.,,Kinship,Person/Thing,
3044,BOVINE,"Member of the Bovinae subfamily, mostly pointing to bulls, cows and oxes.",,Animals,Person/Thing,
3045,COPPER (COLOR),Having a red to yellow metallic color that resembles the metal copper.,,Sense perception,Property,
3046,FODDER,"Feed for livestock, especially chopped hay or straw.",,Food and drink,Person/Thing,
3047,HOT SEASON,Period of the year associated with hot or warm weather.,,Time,Person/Thing,
3048,MOUTH HARP,"Lamellophone instrument consisting of a tongue or reed attached to a frame, placed in the performer's mouth and plucked; Jew's harp, jaw harp.",,Modern world,Person/Thing,
3049,COURAGE,A state or quality of mind that enables to face danger and fear; bravery.,,Emotions and values,Person/Thing,
3050,SEEDLING,A young plant produced from a seed.,,Agriculture and vegetation,Person/Thing,
3051,REED PIPE,Organ pipe that is sounded by a vibrating a metal tongue which rests against a tunnel.,,Modern world,Person/Thing,
3052,ERHU,"A two-stringed fiddle common in Eastern Asia; Chinese violin, Chinese two-stringed fiddle.",,Modern world,Person/Thing,
3053,TIGHT,Being not loose.,,Basic actions and technology,Property,
3054,BEAR FRUIT,To produce or yield fruits.,,Agriculture and vegetation,Action/Process,
3055,SWINDLE,To deceive or deprive by trickery and fraud; to cheat.,,Law,Action/Process,
3056,ANIMAL (CLASSIFIER),Classifier for animals.,,Quantity,Classifier,
3057,FLAIL,"A manual device used for beating or striking with, consisting of a free-swinging stick attached to a handle.",,Basic actions and technology,Person/Thing,
3058,GRAZE,To feed on grasses and herbage in a field or on pastureland.,,Animals,Action/Process,
3059,MALARIA,"Infectious disease characterized by chills, fevers, and sweating, caused by a protozoan of the genus Plasmodium and transmitted by infected Anopheles mosquitoes.",,The body,Person/Thing,
3060,PHEASANT,Bird of the family Phasianidae.,,Animals,Person/Thing,
3061,PHLEGM,"Mucus secreted by the respiratory tract, particularly during respiratory infections, usually thick and sticky.",,The body,Person/Thing,
3062,TURNIP,"A cultivated Eurasian plant, Brassica rapa, of the mustard family, whose whitish root and leaves are edible.",,Agriculture and vegetation,Person/Thing,
3063,RAMIE,"A perennial shrub native to Eastern Asia, with broad leaves and clusters of greenish flowers.",,Agriculture and vegetation,Person/Thing,
3064,RUST,"Any of various metallic coatings formed by corrosion, especially after oxidation in presence of water.",,Basic actions and technology,Person/Thing,
3065,SADDLE,"A seat for an animal (especially horse) rider, secured by a girth.",,Basic actions and technology,Person/Thing,
3066,SCARF OR TURBAN,"A garment, usually consisting of a long piece of cloth, wound around the head or neck or shoulders.",,Clothing and grooming,Person/Thing,
3067,CLEAVER,"A knife with a large and square blade used for cutting and mincing meat, especially by butchers.",,Food and drink,Person/Thing,
3068,COOL DOWN,To cause a decrease in temperature of an object or space; to cause something to become cold.,,The physical world,Action/Process,
3069,FALSE,Not concurring with a given set of facts; fake; unreal.,,Emotions and values,Property,
3070,HOLD A MEETING,To assemble and conduct a gathering of people; to convene.,,Social and political relations,Action/Process,
3071,INSERT,To cause something to go into; to infix; to introduce.,,Motion,Action/Process,
3072,MISPLACE,To place something in a place where one cannot find it again or in a wrong place; to lose something.,,Basic actions and technology,Action/Process,
3073,MANAGE,To watch and direct someone and/or some activity; to be in charge.,,Basic actions and technology,Action/Process,
3074,FIX,"To restore something by replacing a broken part or putting together what is broken, or to repair a hole in a cloth or wheel.",,Basic actions and technology,Action/Process,
3075,SLANTED,Being positioned not straight vertically or horizontally.,,Spatial relations,Property,
3076,SLOPE,"A stretch of ground forming a geological incline, e.g. a hillside.",,The physical world,Person/Thing,
3077,SWALLOW (BIRD),Any of the various passerine birds of the family Hirundinidae; martin.,,Animals,Person/Thing,
3078,IRRIGATE,To supply with water; to water.,,Agriculture and vegetation,Action/Process,
3079,HIGHLAND BARLEY,"A subpecies of the cereal of the genus Hordeum, typically cultivated in the Himalaya region.",,Agriculture and vegetation,Person/Thing,
3080,SPLIT OPEN,"To open something with a cut or incision, revealing its inside.",,Basic actions and technology,Action/Process,
3081,CROPS,The output of plants cultivated that is grown on a large scale.,,Agriculture and vegetation,Person/Thing,
3082,MINCE (SOMETHING),"To cut something, especially food, into small pieces.",,Basic actions and technology,Action/Process,
3083,BALLOON,"A small, elastic hollow body used for decoration and as toy.",,Modern world,Person/Thing,
3084,BLACKBOARD,Reusable surface for writing or drawing.,,The house,Person/Thing,
3085,CARROT,Domesticated root vegetable usually orange or red in colour.,,Agriculture and vegetation,Person/Thing,
3086,COMPUTER,A device for automatically performing sets of logical or arithmetical instructions.,,Modern world,Person/Thing,
3087,PACIFIER,"An artificial teat made of rubber, plastic, or silicone put into an infant's mouth to calm it.",,Clothing and grooming,Person/Thing,
3088,ENVELOPE,An item to commonly used to package or wrap letters.,,Basic actions and technology,Person/Thing,
3089,GIRAFFE,"A quadruped animal native to Africa, remarkable for the length of its legs and neck.",,Animals,Person/Thing,
3090,GUITAR,Musical instrument with usually six strings.,,Speech and language,Person/Thing,
3091,LEMON,Fruit with yellow rind and acidic/sour juice.,,Agriculture and vegetation,Person/Thing,
3092,LIGHTER,Portable instrument for igniting something.,,Basic actions and technology,Person/Thing,
3093,LIPSTICK,"Stick containing wax, oil, or pigments used to apply colour to one's lips.",,Clothing and grooming,Person/Thing,
3094,PAINTBRUSH,Brush used to spread pigments of colour on a surface.,,Basic actions and technology,Person/Thing,
3095,POSTMAN,Person who transports and delivers items sent with a postal service.,,Modern world,Person/Thing,
3096,RACKET,Tool used for hitting a ball in tennis-like games.,,Modern world,Person/Thing,
3097,SEWING MACHINE,"A machine that partially automates the process of sewing, i.e. uniting pieces of material by using a needle and a thread.",,Modern world,Person/Thing,
3098,SNOWMAN,A mass of snow sculptured into the shape of a human.,,Basic actions and technology,Person/Thing,
3099,SOFA,Piece of furniture usually stuffed and used for seating two or more persons.,,The house,Person/Thing,
3100,SUNGLASSES,Form of glasses with tinted lenses to protect one's eyes from sunlight.,,Clothing and grooming,Person/Thing,
3101,SWING,Tool used for play with a seat hanging from ropes.,,Basic actions and technology,Person/Thing,
3102,TANK,Armoured vehicle used by the military.,,Warfare and hunting,Person/Thing,
3103,TENNIS BALL,"Yellow, spherical object used for playing the game of tennis.",,Modern world,Person/Thing,
3104,THERMOMETER,"Instrument used for measuring temperature, mostly by means of a contracting or expanding substanced contained within the instrument.",,Basic actions and technology,Person/Thing,
3105,UMBRELLA,Portable folding canopy used for protection against weather influences.,,Clothing and grooming,Person/Thing,
3106,WARDROBE,"Large object, often made out of wood, used for storing clothes or other fabrics.",,The house,Person/Thing,
3107,WHISTLE (INSTRUMENT),"Wind instrument most often made out of metal or wood used for producing a loud, shrill tone.",,Basic actions and technology,Person/Thing,
3108,BOX (SOMEBODY OR SOMETHING),The act of using fists to fight or hit.,,Basic actions and technology,Action/Process,
3109,BRUSH (TEETH),Clean one's teeth by repeatedly grating over them with an object.,,Clothing and grooming,Action/Process,
3110,CLAP,Make noise by putting one's hand together.,,Motion,Action/Process,
3111,CONDUCT,To lead some kind of musical performance.,,Speech and language,Action/Process,
3112,ERUPT,Burst of matter from a volcano.,,The physical world,Action/Process,
3113,FILE (SOMETHING),"Make something smooth, often nails or other parts of the body.",,Clothing and grooming,Action/Process,
3114,GRATE (SOMETHING),To abrade an object by rubbing it against a rough surface.,,Basic actions and technology,Action/Process,
3115,HAMMER (SOMETHING),Strike or beat something with a hammer.,,Basic actions and technology,Action/Process,
3116,HATCH (OUT),Emergence from an egg.,,Animals,Action/Process,
3117,HITCHHIKE,Travel by means of lifts in vehicles.,,Motion,Action/Process,
3118,IRON (CLOTHES),To make clothes smooth by brushing over them with a heated tool.,,Clothing and grooming,Action/Process,
3119,MASSAGE (SOMEBODY),To rub someone's body with the hands.,,Basic actions and technology,Action/Process,
3120,MOP (SOMETHING),To clean or wipe up by using cloth or a mop.,,Basic actions and technology,Action/Process,
3121,OPERATE (MEDICINE),Perform a medical procedure by cutting or making incisions.,,The body,Action/Process,
3122,PAINT (SOMETHING),The act of spreading coloured pigments on a surface.,,Basic actions and technology,Action/Process,
3123,PHOTOGRAPH (SOMETHING),Use a light-sensitive device to take an image of something.,,Modern world,Action/Process,
3124,PLAY (INSTRUMENT),Execute coordinated movements on or with a musical instrument to produce sounds.,,Speech and language,Action/Process,
3125,PLAY (GAME),Act within the frame and rules of a game.,,Social and political relations,Action/Process,
3126,POST (SOMETHING),To send something by means of a postal service.,,Basic actions and technology,Action/Process,
3127,RAKE (SOMETHING),The act of moving a tool over a surface in order to level or clean it.,,Basic actions and technology,Action/Process,
3128,SHOWER (ACTION),Douse oneself in a stream of water in order to clean oneself.,,Clothing and grooming,Action/Process,
3129,SKATE,Move swiftly over a smooth or slippery surface.,,Motion,Action/Process,
3130,SPILL (SOMETHING),Cause liquids to flow over the edge or out of a container.,,Motion,Action/Process,
3131,SUNBATHE,Sit or lie in the sun in order to tan the skin.,,The body,Action/Process,
3132,SURF,Ride on waves by using a flat object.,,Motion,Action/Process,
3133,TALK (PHONE),To communicate by means of a telephone.,,Speech and language,Action/Process,
3134,TYPE (ON SOMETHING),Using keys of a computer or typewriter.,,Modern world,Action/Process,
3135,VACUUM (SOMETHING),Clean something by using a vacuum cleaner.,,Modern world,Action/Process,
3136,WATCH (TV),The act of watching television.,,Modern world,Action/Process,
3137,OAR,"A pole with a blade at one end, and with the other end attached to the boat via an oarlock or thole, used to row or steer a boat.",,Basic actions and technology,Person/Thing,
3138,STRAWBERRY,"Soft, red fruit with yellow seeds on its surface.",,Agriculture and vegetation,Person/Thing,
3139,LADYBUG,Flying insect of the Coleoptera order.,,Animals,Person/Thing,
3140,VEST,A piece of clothing for the upper body without sleeves and usually worn over a shirt.,,Clothing and grooming,Person/Thing,
3141,TAMBOURINE,"Musical instrument with round, wooden frame and covered by skin, plastic, etc. with metal discs around the frame.",,Speech and language,Person/Thing,
3142,BISON,"Large horned wild animal of the Bovidae family. Related to buffalo but differs, for example, in horn shape and form.",,Animals,Person/Thing,
3143,POLAR BEAR,White bear living in the northern pole regions.,,Animals,Person/Thing,
3144,GORILLA,"Large, African ape covered in dark hair.",,Animals,Person/Thing,
3145,HIPPOPOTAMUS,"Heavy, African animal living in rivers and lakes.",,Animals,Person/Thing,
3146,CHEETAH,Wild Animal of the cat family with characteristic dark spots.,,Animals,Person/Thing,
3147,HAMSTER,"Mouse-sized animal with large cheeks for storing food, often kept as a pet.",,Animals,Person/Thing,
3148,MEERKAT,Southern African animal known for its long tail and often seen standing up on its back legs.,,Animals,Person/Thing,
3149,ARMLET,A band or bracelet worn round the upper part of a person's arm.,,Clothing and grooming,Person/Thing,
3150,BOX OR CHEST,"Either a generic manmade object with space in it that is used to keep and store many various different objects, or a strong box with a lid on top.",,Modern world,Person/Thing,
3151,CUT (WITH AXE),"To chop with an axe, e.g. wood in order to use it as firewood.",,Basic actions and technology,Action/Process,
3152,MUNTJACS,"Also known as barking deer, a kind of small deer of the genus Muntiacus.",,Animals,Person/Thing,
3153,LORD,A man of noble rank or high office; a nobleman.,,Social and political relations,Person/Thing,
3154,WILD BOAR,"Also known as wild pig, an undomestic four-legged animal (Sus scrofa) living in the wild.",,Animals,Person/Thing,
3155,DIBBLE STICK,"A piece of wood with a point used for making holes in the ground for seeds, seedlings or small bulbs.",,Agriculture and vegetation,Person/Thing,
3156,GEBANG PALM,Tree of the Corypha Utan species.,,Agriculture and vegetation,Person/Thing,
3157,CIVET,"A carnivorous mammal of the Viverridae family, found across South East Asia.",,Animals,Person/Thing,
3158,RICE EAR BUG,"An insect of the species Leptocorisa oratoria, which gives of an unpleasant smell when disturbed and feeds on rice plants, destroying the crops.",,Animals,Person/Thing,
3159,BURDEN STICK,A long piece of wood used to carry a burden.,,Basic actions and technology,Person/Thing,
3160,SLAP,Hit with the open palm of the hand.,,Basic actions and technology,Action/Process,
3161,CHEW BETEL,To consume a mixture of areca nut and betel leaf.,,Food and drink,Action/Process,
3162,CROSS-COUSIN,"The child of a parent’s opposite-sex sibling, for example the father’s sister’s son.",,Kinship,Person/Thing,
3163,SQUAT,Have bent knees with the body weight is on the feet.,,Motion,Action/Process,296
3164,ONE HUNDRED AND TWENTY THREE,The natural number one hundred and twenty-three (123).,,Quantity,Number,
3165,TWENTY THREE,The natural number twenty-three (23).,,Quantity,Number,
3166,TWENTY TWO,The natural number twenty-two (22).,,Quantity,Number,
3167,SERMON,"A religious lecture or speech, addressing issues of religion or morality.",,Religion and belief,Person/Thing,
3168,DOWRY,"Property, gifts or money transfered from the parents of a daughter to her new family at marriage.",,Social and political relations,Person/Thing,
